Trade_no,Date,Action,Buy_price,Buy_qty,Buy_amount,Sell_price,Sell_qty,Sell_amount
1,2005-02-25,Sell,0,0,0,2060.9,0.04904853881720526,101.08413364837833
2,2005-02-25,Sell,0,0,0,2060.9,0.6875852946314654,1417.0445337059873
3,2005-02-25,Sell,0,0,0,2060.9,0.5051273626448426,1041.0169816747562
4,2005-02-25,Sell,0,0,0,2060.9,0.44588927814642043,918.9332133319579
5,2005-02-25,Sell,0,0,0,2060.9,0.8277320454458726,1705.872972459399
6,2005-02-25,Sell,0,0,0,2060.9,1.4606365112618769,3010.2257860596023
7,2005-02-25,Sell,0,0,0,2060.9,0.042748367955481585,88.100111519452
8,2005-02-25,Sell,0,0,0,2060.9,0.4919403602181173,1013.8398883735181
9,2005-02-25,Sell,0,0,0,2060.9,0.03648500273017198,75.19194212661144
10,2005-02-25,Sell,0,0,0,2060.9,0.19774180977134734,407.5260957577697
11,2005-02-25,Sell,0,0,0,2060.9,0.22024010208863048,453.8928263944586
12,2005-02-25,Sell,0,0,0,2060.9,1.9076868124579793,3931.5517517946496
13,2005-02-25,Sell,0,0,0,2060.9,1.285830280726323,2649.9676255488794
14,2005-02-25,Sell,0,0,0,2060.9,0.7932063693743748,1634.7190066436492
15,2005-07-27,Sell,0,0,0,2319.1,0.1485472597907864,344.4959501808127
16,2005-07-27,Sell,0,0,0,2319.1,1.1112370513102616,2577.0698456936275
17,2005-07-27,Sell,0,0,0,2319.1,1.8551911960046594,4302.373902654405
18,2005-07-27,Sell,0,0,0,2319.1,2.2348725155201556,5182.892850742793
19,2005-07-27,Sell,0,0,0,2319.1,1.6317152055562714,3784.110733205549
20,2005-07-27,Sell,0,0,0,2319.1,1.2279290808114813,2847.6903313099065
21,2005-07-27,Sell,0,0,0,2319.1,0.8584905800422017,1990.92550417587
22,2005-07-27,Sell,0,0,0,2319.1,0.7292052042531796,1691.0997891835486
23,2005-07-27,Sell,0,0,0,2319.1,1.2031914227408584,2790.321228478325
24,2005-07-27,Sell,0,0,0,2319.1,2.4274471758336027,5629.492745475708
25,2005-07-27,Sell,0,0,0,2319.1,2.219084945407598,5146.27989689476
26,2005-07-27,Sell,0,0,0,2319.1,3.16416821462739,7338.02250654238
27,2005-07-27,Sell,0,0,0,2319.1,2.87210529907869,6660.69939909339
28,2005-07-27,Sell,0,0,0,2319.1,2.6502257714749886,6146.138586627646
29,2005-07-27,Sell,0,0,0,2319.1,1.9304943068108023,4477.009346924931
30,2005-07-27,Sell,0,0,0,2319.1,1.2600735872777846,2922.23665625591
31,2005-07-27,Sell,0,0,0,2319.1,0.9411534740780082,2182.629021734309
32,2005-07-27,Sell,0,0,0,2319.1,0.3008761351872997,697.7618451128668
33,2005-07-27,Sell,0,0,0,2319.1,0.29576452290552663,685.9075050702068
34,2005-07-27,Sell,0,0,0,2319.1,0.39934468988552085,926.1202703135114
35,2005-07-27,Sell,0,0,0,2319.1,0.20262678195826317,469.9117700394081
36,2005-07-27,Sell,0,0,0,2319.1,0.25419461975299285,589.5027426691657
37,2005-07-27,Sell,0,0,0,2319.1,0.15964798953544695,370.239652531655
38,2005-07-27,Sell,0,0,0,2319.1,0.33545547816662685,777.9547994162243
39,2005-07-27,Sell,0,0,0,2319.1,0.2835377409616843,657.5523750642421
40,2005-07-27,Sell,0,0,0,2319.1,0.29075003478097317,674.2784056605549
41,2005-07-27,Sell,0,0,0,2319.1,0.19845915532147773,460.246627106039
42,2005-07-27,Sell,0,0,0,2319.1,0.13329270384642705,309.11910949024895
43,2005-07-27,Sell,0,0,0,2319.1,0.026979565050153153,62.568309307810175
44,2005-11-11,Sell,0,0,0,2548.65,0.7108590535403134,1811.7309268055199
45,2009-06-04,Sell,0,0,0,4572.65,0.4525772695188299,2069.4774514652777
46,2009-06-04,Sell,0,0,0,4572.65,2.5022340295489873,11441.840435217176
47,2009-06-04,Sell,0,0,0,4572.65,0.639855135001352,2925.833583063932
48,2009-06-04,Sell,0,0,0,4572.65,0.38641378279852584,1766.934983913679
49,2009-06-04,Sell,0,0,0,4572.65,1.9199071172445719,8779.063279668391
50,2009-06-04,Sell,0,0,0,4572.65,2.531276068613937,11574.639515147517
51,2009-06-04,Sell,0,0,0,4572.65,4.4717967353498596,20447.961341897535
52,2009-06-04,Sell,0,0,0,4572.65,3.6931293207194438,16887.387788387765
53,2009-06-04,Sell,0,0,0,4572.65,2.632956245240568,12039.587374799283
54,2009-06-04,Sell,0,0,0,4572.65,4.335668298194386,19825.493643738555
55,2009-06-04,Sell,0,0,0,4572.65,5.677769164259201,25962.451168949836
56,2009-06-04,Sell,0,0,0,4572.65,10.685621273032714,48861.606114133036
57,2009-06-04,Sell,0,0,0,4572.65,11.725651918825898,53617.30224661924
58,2009-06-04,Sell,0,0,0,4572.65,9.3295784581862,42660.89693682512
59,2009-06-04,Sell,0,0,0,4572.65,9.03611758297114,41319.00306577298
60,2009-06-04,Sell,0,0,0,4572.65,5.791114562041843,26480.74000212063
61,2009-06-04,Sell,0,0,0,4572.65,3.831776603330991,17521.373285221456
62,2009-06-04,Sell,0,0,0,4572.65,2.7819650432456915,12720.95245499741
63,2009-06-04,Sell,0,0,0,4572.65,4.32334669070093,19769.151245233606
64,2009-06-04,Sell,0,0,0,4572.65,5.509223369602158,25191.75024101131
65,2009-06-04,Sell,0,0,0,4572.65,4.494357477433537,20551.12371918646
66,2009-06-04,Sell,0,0,0,4572.65,2.622300999339879,11990.864664631496
67,2009-06-04,Sell,0,0,0,4572.65,4.871028421136794,22273.50810991116
68,2009-06-04,Sell,0,0,0,4572.65,5.9329531273490055,27129.31811777243
69,2009-06-04,Sell,0,0,0,4572.65,6.400629101240137,29267.83665978571
70,2009-06-04,Sell,0,0,0,4572.65,6.49758388201429,29711.176938092638
71,2009-06-04,Sell,0,0,0,4572.65,8.036107849742299,36746.30855912412
72,2009-06-04,Sell,0,0,0,4572.65,8.707163593311606,39814.81160495631
73,2009-06-04,Sell,0,0,0,4572.65,9.916104133797496,45342.873567409115
74,2009-06-04,Sell,0,0,0,4572.65,7.861918618403465,35949.8021704426
75,2009-06-04,Sell,0,0,0,4572.65,7.655320738504503,35005.10237492261
76,2009-06-04,Sell,0,0,0,4572.65,8.38709807414094,38351.264008720565
77,2009-06-04,Sell,0,0,0,4572.65,7.027666113541714,32135.057454086516
78,2009-06-04,Sell,0,0,0,4572.65,6.94829212194379,31772.10797140627
79,2009-06-04,Sell,0,0,0,4572.65,7.933631727700993,36277.72111967194
80,2009-06-04,Sell,0,0,0,4572.65,8.254126826428507,37743.23303286831
81,2009-06-04,Sell,0,0,0,4572.65,8.27567400444777,37841.7607364381
82,2009-06-04,Sell,0,0,0,4572.65,6.467212196546278,29572.297850537336
83,2009-06-04,Sell,0,0,0,4572.65,7.393845754756647,33809.46879048798
84,2009-06-04,Sell,0,0,0,4572.65,6.469379557533064,29582.208433753563
85,2009-06-04,Sell,0,0,0,4572.65,4.61835802836224,21118.134838390597
86,2009-06-04,Sell,0,0,0,4572.65,4.707508425170898,21525.788400357706
87,2009-06-04,Sell,0,0,0,4572.65,4.674541551028484,21375.042423310395
88,2009-06-04,Sell,0,0,0,4572.65,3.972916186907625,18166.755202063152
89,2009-06-04,Sell,0,0,0,4572.65,3.285361323427896,15022.807455572567
90,2009-06-04,Sell,0,0,0,4572.65,4.251047337503347,19438.551607834677
91,2009-06-04,Sell,0,0,0,4572.65,3.066421727958427,14021.6733143491
92,2009-06-04,Sell,0,0,0,4572.65,2.8881522442490173,13206.509359665268
93,2009-06-04,Sell,0,0,0,4572.65,3.2822258742989163,15008.470144112938
94,2009-06-04,Sell,0,0,0,4572.65,4.03403660266018,18446.23747115407
95,2009-06-04,Sell,0,0,0,4572.65,4.599919751591711,21033.823052115837
96,2009-06-04,Sell,0,0,0,4572.65,5.331553621241573,24379.328666170277
97,2009-06-04,Sell,0,0,0,4572.65,4.525063478156104,20691.53151339051
98,2009-06-04,Sell,0,0,0,4572.65,3.8333932623515143,17528.765701091652
99,2009-06-04,Sell,0,0,0,4572.65,4.017568205911069,18370.93325675925
100,2009-06-04,Sell,0,0,0,4572.65,3.180121357014219,14541.581923151067
101,2009-06-04,Sell,0,0,0,4572.65,3.0203070253624054,13810.806919523402
102,2009-06-04,Sell,0,0,0,4572.65,2.2432008934821632,10257.372565581212
103,2009-06-04,Sell,0,0,0,4572.65,2.3367910852861487,10685.327756133707
104,2009-06-04,Sell,0,0,0,4572.65,4.446091075871172,20330.418358082312
105,2009-06-04,Sell,0,0,0,4572.65,5.016346902157339,22937.998662149752
106,2009-06-04,Sell,0,0,0,4572.65,5.834290859537219,26678.170098862865
107,2009-06-04,Sell,0,0,0,4572.65,6.27428565490851,28690.112299917397
108,2009-06-04,Sell,0,0,0,4572.65,5.1098710645060095,23365.6519231134
109,2009-06-04,Sell,0,0,0,4572.65,6.421943172473779,29365.298447612222
110,2009-06-04,Sell,0,0,0,4572.65,5.226189732459066,23897.536480128943
111,2009-06-04,Sell,0,0,0,4572.65,5.0137508461961575,22926.127806858858
112,2009-06-04,Sell,0,0,0,4572.65,5.630558988734057,25746.575559834782
113,2009-06-04,Sell,0,0,0,4572.65,6.8011410954529925,31099.237830123122
114,2009-06-04,Sell,0,0,0,4572.65,6.8070875898353425,31126.429067660578
115,2009-06-04,Sell,0,0,0,4572.65,6.073657615237902,27772.71049431759
116,2009-06-04,Sell,0,0,0,4572.65,4.8512312142572815,22182.982411873556
117,2009-06-04,Sell,0,0,0,4572.65,3.670104611174607,16782.103850287567
118,2009-06-04,Sell,0,0,0,4572.65,3.52951936762749,16139.25673638184
119,2009-06-04,Sell,0,0,0,4572.65,2.902717838504959,13273.112724239698
120,2009-06-04,Sell,0,0,0,4572.65,3.7084264076253355,16957.33601282799
121,2009-06-04,Sell,0,0,0,4572.65,3.462248721889244,15831.65161814685
122,2009-06-04,Sell,0,0,0,4572.65,3.2010141594784365,14637.117396339072
123,2009-06-04,Sell,0,0,0,4572.65,3.473870702532452,15884.794867935016
124,2009-06-04,Sell,0,0,0,4572.65,2.6741021160097764,12227.733040772104
125,2009-06-04,Sell,0,0,0,4572.65,1.718020263851865,7855.90535950223
126,2009-06-04,Sell,0,0,0,4572.65,1.528153494279518,6987.711075617238
127,2009-06-04,Sell,0,0,0,4572.65,1.617565125633469,7396.559171727882
128,2009-06-04,Sell,0,0,0,4572.65,2.0151411064627727,9214.534980466997
129,2009-06-04,Sell,0,0,0,4572.65,1.3492469096953466,6169.633881618426
130,2009-06-04,Sell,0,0,0,4572.65,2.552302333213665,11670.785263969465
131,2009-06-04,Sell,0,0,0,4572.65,3.5401393626610353,16187.818256671982
132,2009-06-04,Sell,0,0,0,4572.65,3.4409403548140505,15734.215913440466
133,2009-06-04,Sell,0,0,0,4572.65,3.241237318603576,14821.04382491264
134,2009-06-04,Sell,0,0,0,4572.65,3.895648593194581,17813.4375396712
135,2009-06-04,Sell,0,0,0,4572.65,3.9064628874396905,17862.887522251098
136,2009-06-04,Sell,0,0,0,4572.65,3.524202723904637,16114.945585462538
137,2009-06-04,Sell,0,0,0,4572.65,3.214031929379903,14696.643101879014
138,2009-06-04,Sell,0,0,0,4572.65,3.470794688910181,15870.729334245138
139,2009-06-04,Sell,0,0,0,4572.65,4.596133133761317,21016.508174093684
140,2009-06-04,Sell,0,0,0,4572.65,5.345994896497328,24445.363563468505
141,2009-06-04,Sell,0,0,0,4572.65,4.9991348414707995,22859.293932851448
142,2009-06-04,Sell,0,0,0,4572.65,6.007802257694539,27471.576993646933
143,2009-06-04,Sell,0,0,0,4572.65,5.331592172578679,24379.504947941896
144,2009-06-04,Sell,0,0,0,4572.65,5.956099022490956,27235.156195193267
145,2009-06-04,Sell,0,0,0,4572.65,5.280641522870851,24146.525459555392
146,2009-06-04,Sell,0,0,0,4572.65,3.8280547541983707,17504.354571785178
147,2009-06-04,Sell,0,0,0,4572.65,3.064305666639762,14011.997306560306
148,2009-06-04,Sell,0,0,0,4572.65,3.2945638479937505,15064.887379528622
149,2009-06-04,Sell,0,0,0,4572.65,2.784979699362936,12734.737422291928
150,2009-06-04,Sell,0,0,0,4572.65,2.624094382634576,11999.065178753992
151,2009-06-04,Sell,0,0,0,4572.65,2.624187864916068,11999.492640508459
152,2009-06-04,Sell,0,0,0,4572.65,1.0164244499624993,4647.753261121022
153,2009-06-04,Sell,0,0,0,4572.65,1.0122507026367944,4628.668175412137
154,2009-06-04,Sell,0,0,0,4572.65,0.4893399277403399,2237.580220581865
155,2009-06-04,Sell,0,0,0,4572.65,0.6913645051090042,3161.3679042866875
156,2009-06-04,Sell,0,0,0,4572.65,0.17970275947133854,821.7178230966161
157,2014-09-08,Sell,0,0,0,8173.9,0.037939468753723914,310.1134236460639
158,2014-09-08,Sell,0,0,0,8173.9,0.3850359726542098,3147.2455368782453
159,2014-09-08,Sell,0,0,0,8173.9,0.5477556052394967,4477.299541667122
160,2014-09-08,Sell,0,0,0,8173.9,0.38781526376441267,3169.9631844839328
161,2014-09-08,Sell,0,0,0,8173.9,0.2853366630219659,2332.3133498752472
162,2014-09-08,Sell,0,0,0,8173.9,0.020813777488521333,170.1297358134245
163,2014-09-08,Sell,0,0,0,8173.9,0.5491999658720659,4489.105601041679
164,2014-09-08,Sell,0,0,0,8173.9,1.3521776714561424,11052.565068715363
165,2014-09-08,Sell,0,0,0,8173.9,1.3953830893798094,11405.721834281623
166,2014-09-08,Sell,0,0,0,8173.9,1.7327576709383592,14163.387926483054
167,2014-09-08,Sell,0,0,0,8173.9,1.361465933410394,11128.48639310322
168,2014-09-08,Sell,0,0,0,8173.9,1.139517411120627,9314.301366758893
169,2014-09-08,Sell,0,0,0,8173.9,1.1215796579553,9167.679966160826
170,2014-09-08,Sell,0,0,0,8173.9,1.7867621121274453,14604.814828318524
171,2014-09-08,Sell,0,0,0,8173.9,1.7988331194408305,14703.482034997403
172,2014-09-08,Sell,0,0,0,8173.9,1.3621237746165615,11133.863521338311
173,2014-09-08,Sell,0,0,0,8173.9,1.1265881559995072,9208.618928324371
174,2014-09-08,Sell,0,0,0,8173.9,0.8578849276052364,7012.265609752441
175,2014-09-08,Sell,0,0,0,8173.9,1.556038667168525,12718.904461568805
176,2014-09-08,Sell,0,0,0,8173.9,1.1916006497131482,9740.024550690301
177,2014-09-08,Sell,0,0,0,8173.9,0.7134822442835292,5831.932516549139
178,2014-09-08,Sell,0,0,0,8173.9,0.4403719775960528,3599.5565076723756
179,2020-06-18,Sell,0,0,0,10091.65,0.4584641042109622,4626.659277260556
180,2020-06-18,Sell,0,0,0,10091.65,0.13706075243460475,1383.169142306679
