sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
2.4,2024-02-10,2025-02-13,400,100,18 months,0,19.27789168866018,7.5604560885257674
2.4,2024-02-10,2025-02-13,400,100,24 months,0,19.27789168866018,7.5604560885257674
2.4,2024-02-10,2025-02-13,400,100,36 months,0,19.27789168866018,7.5604560885257674
2.4,2023-02-10,2025-02-13,400,100,18 months,1,72.89194754946436,36.643956124600805
2.4,2023-02-10,2025-02-13,400,100,24 months,1,74.10859086066904,36.643956124600805
2.4,2023-02-10,2025-02-13,400,100,36 months,0,74.10859086066904,36.643956124600805
2.4,2022-02-10,2025-02-13,400,100,18 months,2,82.32797736287034,40.793980141024306
2.4,2022-02-10,2025-02-13,400,100,24 months,1,81.57427840735004,40.793980141024306
2.4,2022-02-10,2025-02-13,400,100,36 months,1,84.38488014714808,40.793980141024306
2.4,2021-02-10,2025-02-13,400,100,18 months,2,113.43074341387538,62.74042284175159
2.4,2021-02-10,2025-02-13,400,100,24 months,2,127.02966684289758,62.74042284175159
2.4,2021-02-10,2025-02-13,400,100,36 months,1,119.9344623963667,62.74042284175159
2.4,2020-02-10,2025-02-13,400,100,18 months,3,182.112184967877,111.08131122369274
2.4,2020-02-10,2025-02-13,400,100,24 months,2,201.36391575575843,111.08131122369274
2.4,2020-02-10,2025-02-13,400,100,36 months,1,195.214066435043,111.08131122369274
2.4,2019-02-10,2025-02-13,400,100,18 months,4,209.45056940211137,119.08548325225851
2.4,2019-02-10,2025-02-13,400,100,24 months,3,195.82041641063742,119.08548325225851
2.4,2019-02-10,2025-02-13,400,100,36 months,2,235.64078112581996,119.08548325225851
2.4,2018-02-10,2025-02-13,400,100,18 months,4,154.40319822266017,125.3420344218581
2.4,2018-02-10,2025-02-13,400,100,24 months,3,213.161478873548,125.3420344218581
2.4,2018-02-10,2025-02-13,400,100,36 months,2,159.66045297524124,125.3420344218581
2.4,2017-02-10,2025-02-13,400,100,18 months,5,253.73381582774152,166.28228547641487
2.4,2017-02-10,2025-02-13,400,100,24 months,4,234.802813610708,166.28228547641487
2.4,2017-02-10,2025-02-13,400,100,36 months,2,280.4495294041982,166.28228547641487
2.4,2016-02-10,2025-02-13,400,100,18 months,6,384.22521005179516,238.40893424116652
2.4,2016-02-10,2025-02-13,400,100,24 months,4,455.17384444333675,238.40893424116652
2.4,2016-02-10,2025-02-13,400,100,36 months,3,427.750892769871,238.40893424116652
2.4,2015-02-10,2025-02-13,400,100,18 months,6,240.38685682085776,167.33602226538054
2.4,2015-02-10,2025-02-13,400,100,24 months,5,234.802813610708,167.33602226538054
2.4,2015-02-10,2025-02-13,400,100,36 months,3,159.66045297524124,167.33602226538054
